IssueID,ConversationURL,Label,Model,TokensOfPrompts,TokensOfAnswers,PrimaryLanguage,Dev Sentiment Scores,GPT Sentiment Scores,Dev Sentiment Labels,GPT Sentiment Labels,Dev Sentiment EMA,GPT Sentiment EMA
fa1a3ae2,https://chat.openai.com/share/48fbc5e3-db1f-4879-8f9c-1b473e0d4877,Troubleshooting,GPT-3.5,3067,2128,Java,"[-0.00021176922746235505, 1.2015807442367077e-05, 1.2386772141326219e-05, 1.6825477359816432e-05, -5.795009201392531e-07]","[-0.0001516350675956346, -2.97382939606905e-05, -4.208358586765826e-05, 0.0005941019480815157, -8.665317000122741e-05]","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",-3.5263306747282656e-05,6.4013938417365e-05
f92eca80,https://chat.openai.com/share/a9811e15-29df-462a-9134-b7b231d79133,Ideation,GPT-3.5,135,3296,Python,"[-0.00013630021567223594, -2.305396628798917e-05, -0.9928803781076567, -0.0006442628291551955, -6.062530155759305e-05, -5.5933123803697526e-05]","[-0.00013587004650617018, -2.4842367565725e-05, -2.8597816708497703e-05, -0.4008616968349088, -4.4885331590194255e-05, -4.4042637455277145e-05]","['Neutral', 'Neutral', 'Negative', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",-0.1035312903490517,-0.0584864818059124
f8d48b22,https://chat.openai.com/share/0233d7e5-7286-4416-9f51-150c77dafe80,Synthesis,GPT-4-PLUGINS,925,1258,Python,"[-0.00020675920677604154, 2.6271438400726765e-05, -0.003036744237761013]","[-0.00010183426638832316, -6.95562848704867e-05, -4.77062349091284e-05]","['Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral']",-0.0015634940609743,-6.670075526926666e-05
f8bd716d,https://chat.openai.com/share/7faf4574-49a3-4e3b-9bd0-016f62f864c9,Validation,GPT-4-CODE-INTERPRETER,898,133,Python,[-7.145902782212943e-05],[0.00024535706324968487],['Neutral'],['Neutral'],-7.145902782212943e-05,0.0002453570632496
f8ba64a2,https://chat.openai.com/share/9d81764c-6d88-4177-a3e1-f1ff19a544ce,Ideation,GPT-4,35,924,Python,"[5.4760443163104355e-05, 0.000115774899313692]","[0.00039180225576274097, 0.00018666421965463087]","['Neutral', 'Neutral']","['Neutral', 'Neutral']",9.543674726349612e-05,0.000255043565024
f88deaed,https://chat.openai.com/share/f35a1b48-461c-4dd6-bd44-f19d0fdbe45c,Ideation,GPT-4-PLUGINS,387,3210,Java,"[-0.00022708316100761294, 9.425057214684784e-06, -0.0001724320973153226, -0.0004646511224564165, -5.8459394495002925e-05, -0.0002317753605893813, 0.9996212549667689]","[-0.0002143860692740418, -0.0002143860692740418, -0.00014337468019220978, -0.00019278038962511346, -0.00010840377217391506, 0.27738235879223794, -0.23099233672837727]","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Positive']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",0.2497511324164811,-0.0058366844761295
f85b87ed,https://chat.openai.com/share/ba9f7701-ee2b-4cf2-ba2a-fc995440759b,Refractoring,GPT-3.5,34,211,Python,[-0.00044268573401495814],[6.316689541563392e-05],['Neutral'],['Neutral'],-0.0004426857340149,6.316689541563392e-05
f76c8b84,https://chat.openai.com/share/81939500-1ece-49f6-9104-79e5c0044fac,Ideation,GPT-4,1158,9163,Python,"[-0.00046080136962700635, -0.00020163239969406277, 0.9748706902610138, -0.00044554381383932196, 0.00665356102399528, 0.9352424158714712, -0.002836608749930747, -0.00011199927394045517, -0.0002459840470692143, -0.00017596923134988174, -8.163635357050225e-05, -0.00011614749382715672]","[-0.0002532229627831839, -0.000276203740213532, -0.0003197559271939099, -0.0001551927562104538, -0.00026108127349289134, -0.00029423238447634503, -0.00040963957872008905, -0.00022873580746818334, -0.0003292190594947897, -0.0002721257114899345, -0.0004562241447274573, -0.0003184333399985917]","['Neutral', 'Neutral', 'Positive', 'Neutral', 'Neutral', 'Positive', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",0.0861092264501263,-0.0003090226762722
f706c5f8,https://chat.openai.com/share/7448e572-e8b6-43d3-8d74-5533bd74a219,Ideation,GPT-4,31,520,Python,[-2.5206558348145336e-05],[9.194722952088341e-05],['Neutral'],['Neutral'],-2.5206558348145336e-05,9.19472295208834e-05
f64fb1e6,https://chat.openai.com/share/12420724-2055-4cf5-bb4b-4a5ed06ee771,Troubleshooting,GPT-4,88,1881,C++,"[-0.0001157776132458821, -0.0004358818623586558, -8.240520401159301e-05]","[-0.0005811926603200845, -0.0009910290536936373, -0.00018781293329084292]","['Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral']",-0.0001791174709069,-0.0004869618951488
f506f4b0,https://chat.openai.com/share/cdf181c2-798a-4cd6-95e5-5e3ab70fb04d,Troubleshooting,GPT-4,7524,4540,Python,"[-0.0002379111247137189, -0.0009299008233938366, -0.00015952901594573632, -0.0001549406151752919, -0.005051484673458617, -0.00027132431569043547, -0.00012978454469703138, -0.005953307212621439, -0.03617034133640118, -0.0009413289881194942, -0.0029721227401751094]","[-6.141791527625173e-05, -0.00013601242972072214, 5.216358113102615e-05, 0.00014250074309529737, -9.269719885196537e-05, -0.00017327059322269633, 0.0006928705697646365, -0.18830545962555334, -0.0003323757628095336, -0.0001803198829293251, 0.761626498773694]","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Positive']",-0.00577908742227,0.1087453058128977
f3bd22e0,https://chat.openai.com/share/9ffe8416-29b0-4652-8cba-d85689fe4e70,Synthesis,GPT-3.5,307,2305,Python,"[2.133529051207006e-06, 1.6747508198022842e-06, -0.0003265145351178944, -0.005881979795958614, -0.001169637056591455, 1.057003828464076e-05, -0.0007015878145466559, -0.026997283101081848]","[4.472682485356927e-05, -0.0001293578534387052, -0.013612387818284333, 0.9986629965278553, 0.0002603073080535978, 0.9986579249707574, 0.9980157009013055, 0.9952899455674924]","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Positive', 'Neutral', 'Positive', 'Positive', 'Positive']",-0.0067400700059766,0.6083035204874631
f362eba8,https://chat.openai.com/share/1ba5b54e-37dd-4d95-b598-9c767bfb29dd,Understanding,GPT-3.5,78,759,JavaScript,"[-7.025529339443892e-05, -4.6810557250864804e-05, -0.3911431252490729]","[-7.792586256982759e-05, -0.0005989729397697374, 0.9954530546674505]","['Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Positive']",-0.1956008290871977,0.4975573026331403
f3499c40,https://chat.openai.com/share/c8c101fa-aaae-4953-ac4f-f81b66d88783,Ideation,GPT-3.5,340,1066,Python,"[-6.745653081452474e-05, -8.669914677739143e-05, -0.0003582745193853043]","[-0.00011177473061252385, 0.00011787865514634177, 0.00040929653187049553]","['Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral']",-0.0002176761790906,0.0002061742470687
f1ea245f,https://chat.openai.com/share/1f09a391-17dc-499f-8e52-df01e211f2a2,Ideation,GPT-3.5,74,1004,TypeScript,"[2.828286960721016e-05, 1.9291474018245935e-05, -2.8292328352108598e-05]","[0.0028527704562293366, 7.577177893836051e-05, 0.9996959034833708]","['Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Positive']",-2.252578269690275e-06,0.5005800873004773
ed82af90,https://chat.openai.com/share/24883a64-920a-4211-a3f0-d145761de640,Synthesis,GPT-3.5,284,12009,Java,"[6.037210550857708e-05, 0.0003024352845386602, 0.00010279195703333244, -0.00017156301328213885, -4.3791056668851525e-05, -9.81023913482204e-06, 0.00011212824028916657, 0.00010935555474134162, 2.8990521968808025e-05, 1.6863588825799525e-05, 0.00010845986980712041, -3.080593887716532e-05, 0.0005612458917312324, 5.856923962710425e-05]","[0.0035461341176414862, 0.014563975448254496, 0.048282635427312925, -7.341819582507014e-06, 0.005075699809822254, 0.18839327129535377, 2.503060386516154e-06, -1.5896657714620233e-05, 0.0025621554304962046, 0.003622631287726108, 0.0018777161094476469, 0.19887216133065522, -0.00011874212941620499, 0.007536371340393089]","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",0.0001058010158682,0.0319254320467289
ed213789,https://chat.openai.com/share/902cd378-3ebc-4e35-99ed-e63c7150c6ad,Synthesis,GPT-4,980,383,Python,[-0.00020305681391619146],[9.03331529116258e-05],['Neutral'],['Neutral'],-0.0002030568139161,9.03331529116258e-05
ebfd9be3,https://chat.openai.com/share/98c62099-ea6c-48f6-bfd0-4369538d01e8,Ideation,GPT-3.5,15,387,TypeScript,[-2.64204281847924e-05],[-6.112388655310497e-05],['Neutral'],['Neutral'],-2.64204281847924e-05,-6.112388655310497e-05
e9f60b40,https://chat.openai.com/share/b5e1a34e-e365-4455-8d17-265ef80101c0,Troubleshooting,GPT-4,163,1411,Python,"[-0.00034864720510086045, -3.145208029309288e-05, -2.970716741401702e-05]","[-0.00015629472909495234, -0.00017114557704189792, -0.0001011446220218204]","['Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral']",-0.0001098784050554,-0.0001324323875451
e9d8be37,https://chat.openai.com/share/234346e6-225a-4faf-8e02-f6ee08af7875,Refractoring,GPT-3.5,97,194,Python,[-7.923299563117325e-05],[0.008790732492343523],['Neutral'],['Neutral'],-7.923299563117325e-05,0.0087907324923435
e8bcc012,https://chat.openai.com/share/add5457c-1a7f-4f90-b6ca-368c5ca8b5bc,Ideation,GPT-3.5,106,840,TypeScript,"[-0.0022414089980884455, -0.0006684570762445219]","[-0.0013754043247899972, -0.0017313664720859379]","['Neutral', 'Neutral']","['Neutral', 'Neutral']",-0.0011927743835258,-0.0016127124229872
e8655766,https://chat.openai.com/share/6413d8d1-98f2-48b6-bb52-f684b30c41d2,Understanding,GPT-3.5,1149,2410,Java,"[-0.0005114969681017101, -0.00035358780587557703, -0.0009597685202606954, -0.0004046228641527705]","[-0.0014038367080502212, -0.005147650022991002, -0.0030853015850880183, -0.0015959887678036466]","['Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral']",-0.0005535935796797,-0.0024233582197921
e81cb7c0,https://chat.openai.com/share/29a25377-786f-4690-b146-12acb6acb75b,Understanding,GPT-4-CODE-INTERPRETER,371,461,Java,"[-0.00012670541036641225, 4.808197991224006e-05]","[1.1013064067810774e-05, 1.1013064067810774e-05]","['Neutral', 'Neutral']","['Neutral', 'Neutral']",-1.0180483513977384e-05,1.1013064067810774e-05
e62bd922,https://chat.openai.com/share/41409ce2-fe94-4c74-b425-f0760f9d1ca3,Troubleshooting,GPT-3.5,1197,2753,TypeScript,"[-0.00023895991034805775, -0.00022422408073907718, -7.115126209100708e-05, -0.0001369505116599612, -0.00027793073968496174, -0.00013215379294706509, -6.796786328777671e-05]","[-0.00014393695892067626, -0.0002715553273446858, -0.00021593896235572174, -0.00018647322576725855, -0.00020486083667492494, -0.00014446926797972992, -0.00019945557141909376]","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",-0.0001567590740396,-0.0001842366674313
e5dc14da,https://chat.openai.com/share/84e6ce44-5ab4-4cb6-8072-cc9f22676e74,Understanding,GPT-3.5,420,2942,C++,"[-6.407084583770484e-05, 3.1425377528648823e-05, 1.9663595594465733e-05, -7.959820504765958e-05, 3.2785479561425745e-05, -0.9908209037967026, -0.0003343859425513074, -4.466736572794616e-05, -0.00025739564443938434, -0.00014090056356508285]","[-0.0001798984085326083, -0.00024443648726446554, -2.8674359782598913e-05, 8.785326645011082e-05, 3.4650511224754155e-05, 0.8689334558148403, -0.00026809918199433014, -0.015827674680622295, -0.0002114685921696946, -0.004699946031905711]","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Negative', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Positive', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",-0.0808427106000987,0.06792656179465
e5be23a4,https://chat.openai.com/share/c08923f2-f346-4f75-a701-32493ae2bd22,Synthesis,GPT-3.5,99,303,TypeScript,[0.00021185212244745344],[0.0005855064446222968],['Neutral'],['Neutral'],0.0002118521224474,0.0005855064446222
e40a9e42,https://chat.openai.com/share/440407a1-df1c-4f1e-84b9-76ffec9fd918,Ideation,GPT-3.5,109,1749,Python,"[0.0005713011778425425, -2.4649474653415382e-05, -0.001479188464145409, -0.00023471246458939277, 0.9996845834539272]","[-0.00021939397265668958, -0.5724994548654649, 0.9716798735316843, 0.9532423628406832, 0.9996892492490588]","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Positive']","['Neutral', 'Negative', 'Positive', 'Positive', 'Positive']",0.3330673122268139,0.6324274666759366
e308e942,https://chat.openai.com/share/b0211dfa-e035-4c0a-8836-5dcccf1cb98f,Ideation,GPT-4,71,905,JavaScript,"[-5.3135459893383086e-05, -0.0005937509486102499]","[-8.347499533556402e-05, 0.007207236994872801]","['Neutral', 'Neutral']","['Neutral', 'Neutral']",-0.0004135457857046,0.0047769996648033
e26331b0,https://chat.openai.com/share/75f57f32-c9fe-4faa-b6af-ffb450fabed4,Ideation,GPT-4,68,1232,Python,"[-6.391490023816004e-05, 3.0737828637938946e-05, -0.00041943030737456866]","[-9.303988917963579e-05, -8.18261833046563e-05, 0.00019592407625168562]","['Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral']",-0.0002180094215873,5.424552000476979e-05
e155fd4e,https://chat.openai.com/share/4ccb3c55-c4e0-4e7e-9c30-ed6a64258f20,Refractoring,GPT-3.5,1604,1820,C#,"[-0.0007524551983806305, -0.00047935474140103906, -0.000672794776619412, -0.0006311551333055831, -0.0005416255226009525]","[-0.0002437639413983561, -0.000369134773791302, -0.00033097618870669976, -0.0003088760713580996, -0.0003088760713580996]","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",-0.0006164486411661,-0.0003052399842999
dd7bc643,https://chat.openai.com/share/6c356c82-3607-4c92-8271-99144239b1ae,Troubleshooting,GPT-4-PLUGINS,4567,5631,Python,"[-0.0001560493983561173, -0.002201068084104918, -0.0009074008776224218, -0.0002729637344600633, -0.0007640796320629306, 3.493187250569463e-05, -0.00016821497411001474, -5.7379380450583994e-05, -0.00022303622972685844, 0.00014157340046949685, -0.00037535510637098923, -0.00010298830602550879, -0.00011797811021097004, -6.544459029100835e-05]","[0.00010005923104472458, -0.9756903572269948, -0.8486177623854019, -0.0002315960664418526, 3.0114846595097333e-05, 0.00015060411533340812, 0.9917007575277239, -0.4665753162407782, -2.1897867554798722e-05, 0.9994667380160536, -0.6169784414814785, -2.939283149316907e-05, 1.9811777747236192e-05, -0.00010840834147529677]","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Negative', 'Negative', 'Neutral', 'Neutral', 'Neutral', 'Positive', 'Neutral', 'Neutral', 'Positive', 'Negative', 'Neutral', 'Neutral', 'Neutral']",-0.0002179938189397,-0.0029740758292567
dd2d4f3b,https://chat.openai.com/share/ff041b92-992d-40f0-b411-42a49ff0b3e3,Ideation,GPT-4,264,3061,Python,"[-0.36753656895598397, -0.9971176436956739, 0.00018927906785393134, -3.770014154724777e-05, -4.0478371374774724e-05, -8.012396574486047e-05, 1.9140541553497314e-05, -0.0003625267927418463, 7.658913091290742e-05]","[1.5143319615162909e-05, -0.00019174403132637963, -8.145242463797331e-05, -8.988988702185452e-05, 0.0006326440197881311, 0.0010014096696977504, -7.473988807760179e-05, 0.9996656622970477, -9.548287198413163e-05]","['Neutral', 'Negative', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Positive', 'Neutral']",-0.1035288534626641,0.1600565500590839
dc35baab,https://chat.openai.com/share/72291c54-8109-4c33-bc23-7aef3598a821,Synthesis,GPT-4,16,244,Python,[1.8243292288389057e-05],[-2.7296548068989068e-05],['Neutral'],['Neutral'],1.8243292288389057e-05,-2.7296548068989068e-05
dc275f90,https://chat.openai.com/share/c553d5c1-3c73-4ffa-aae3-698e002ccdef,Ideation,GPT-3.5,544,6683,C++,"[7.202072447398677e-05, 0.9951107965462143, 0.9996424074633978, 0.00011707274825312197, 1.3351746019907296e-05, 4.445514059625566e-05, 0.00016964285168796778, -0.00058693026585388, -0.00019406742649152875, -9.694419713923708e-05, -0.010209371568635106, 2.135927206836641e-05, 0.9997151538918843]","[0.0008684992135385983, 0.00025456579896854237, 0.9997022516981815, 7.406662916764617e-06, 2.569107891758904e-05, -0.00012876558321295306, 0.0006167194151203148, 4.0556187741458416e-07, -0.00026935488858725876, -0.4463214706047438, -0.9902589468838414, 0.0928788005548995, 0.0037504174397327006]","['Neutral', 'Positive', 'Positive', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Positive']","['Neutral', 'Neutral', 'Positive', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Negative', 'Neutral', 'Neutral']",0.1983647723388204,-0.1014542080015328
dc07ae66,https://chat.openai.com/share/0f2326c4-d702-4979-868c-83569d992712,Ideation,GPT-4,24,629,Python,[-2.224061609013006e-05],[-4.866669769398868e-05],['Neutral'],['Neutral'],-2.224061609013006e-05,-4.866669769398868e-05
d9387f56,https://chat.openai.com/share/6a1540fa-3219-4ec2-a3c3-c9759df2fe36,Synthesis,GPT-4,114,797,JavaScript,"[-0.0001282365119550377, 4.877912579104304e-05]","[-9.250584116671234e-05, -0.010518297422095202]","['Neutral', 'Neutral']","['Neutral', 'Neutral']",-1.0226086790983885e-05,-0.0070430335617857
d8b639da,https://chat.openai.com/share/804348f0-7273-44ee-95c4-edf3af3dbd1a,Troubleshooting,GPT-4,1425,1581,JavaScript,"[-0.0006711804489896167, -3.707520227180794e-05, -0.0005417687680164818, -0.0002108060580212623]","[-8.819954382488504e-05, -0.0005746306997025385, -3.6275880120228976e-05, -5.240646714810282e-05]","['Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral']",-0.0003646607336413,-0.0001314667203114
d762e945,https://chat.openai.com/share/23571316-f855-4456-8291-989b97d7476e,Ideation,GPT-3.5,62,596,TypeScript,[2.471380867063999e-06],[-0.00010953795572277158],['Neutral'],['Neutral'],2.471380867063999e-06,-0.0001095379557227
d662c86e,https://chat.openai.com/share/f35a1b48-461c-4dd6-bd44-f19d0fdbe45c,Ideation,GPT-4-PLUGINS,387,3210,Java,"[-0.00022708316100761294, 9.425057214684784e-06, -0.0001724320973153226, -0.0004646511224564165, -5.8459394495002925e-05, -0.0002317753605893813, 0.9996212549667689]","[-0.0002143860692740418, -0.0002143860692740418, -0.00014337468019220978, -0.00019278038962511346, -0.00010840377217391506, 0.27738235879223794, -0.23099233672837727]","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Positive']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",0.2497511324164811,-0.0058366844761295
d5b18c0a,https://chat.openai.com/share/994b3d20-5bc4-4954-8abe-f53ddabc90ca,Ideation,GPT-4,3822,904,Python,"[-0.0011457942528068088, 1.6598889487795532e-05, -0.5432882526074536]","[-7.34666537027806e-05, -9.472616511629894e-05, 0.000149157531268429]","['Neutral', 'Neutral', 'Negative']","['Neutral', 'Neutral', 'Neutral']",-0.2719264251445565,3.253056092944462e-05
d463e297,https://chat.openai.com/share/5829196a-05cb-4b84-abef-9cad16bca6b0,Understanding,GPT-4-PLUGINS,379,3080,Python,"[-8.936801896197721e-05, -8.706418157089502e-06]","[0.0002585278416518122, 0.0002585278416518122]","['Neutral', 'Neutral']","['Neutral', 'Neutral']",-3.559361842538541e-05,0.0002585278416518
d4589cc1,https://chat.openai.com/share/8342213e-6c3b-4f62-a9a6-bf8152342552,Ideation,GPT-4-PLUGINS,1233,12756,Python,"[0.736784195934888, -0.00015747428551549092, 0.9996297587240406, 0.9993934952362906, 0.9964081313228235, 0.9997154049488017, -0.008766824823396746, 0.9997320455440786, 0.9879398192861117, 0.9996656201183214, -0.026997283101081848, -0.026997283101081848, -0.0003693368344102055, -7.130092126317322e-05, 0.9995818985189544, -0.0007292346563190222, 0.9904672736374778, 4.3977765017189085e-05]","[0.005130425612151157, 0.005130425612151157, 0.005130425612151157, 0.005130425612151157, 0.005130425612151157, 0.005130425612151157, -1.863295619841665e-05, 0.00017072596529033035, 0.00046718127850908786, 3.751220356207341e-05, 1.8556347640696913e-05, 0.9375450554070994, 0.9988825514083146, 0.010964576576952823, 0.00040751232154434547, -8.940041152527556e-05, -0.0007230779156088829, -0.0007230779156088829]","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive', 'Positive', 'Neutral', 'Positive', 'Positive', 'Positive', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Positive', 'Positive', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",0.4872004907451681,0.112921965256372
d45076de,https://chat.openai.com/share/c18aff35-93b2-4274-83c3-dc005b4812a2,Troubleshooting,GPT-4,23,521,JavaScript,[-0.00545407053141389],[-9.985442011384293e-05],['Neutral'],['Neutral'],-0.0054540705314138,-9.985442011384292e-05
